year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
2013,NJ,New Jersey,8911502,25748,404,861,1189,12084,12071,167634,35883,118005,13746
2013,NM,New Mexico,2086895,12990,123,1135,1565,1832,9470,78958,21828,51146,5984
2013,NV,Nevada,2791494,16888,163,1090,1482,5183,10060,79177,23047,46132,9998
2013,NY,New York,19695680,77563,644,2575,3548,27241,46130,358603,56444,286676,15483
2013,OH,Ohio,11572005,33722,478,3594,4391,14483,14370,338414,91090,227799,19525
2013,OK,Oklahoma,3853118,17187,198,1715,2314,3023,11652,126418,33512,81624,11282
2013,OR,Oregon,3928068,9536,82,1000,1464,2394,5596,125083,20808,94363,9912
2013,PA,Pennsylvania,12781296,42825,611,2728,3795,14739,23680,263176,52000,197410,13766
2013,RI,Rhode Island,1053354,2710,31,333,449,683,1547,25741,5621,17881,2239
2013,SC,South Carolina,4771929,24263,305,1739,2233,3965,17760,173261,40930,119730,12601
2013,SD,South Dakota,845510,2733,18,454,507,156,2052,16274,3383,11955,936
2013,TN,Tennessee,6497269,38063,335,1904,2500,7333,27895,207683,51334,144443,11906
2013,TX,Texas,26505637,108757,1140,7610,10456,31810,65351,862289,191062,605440,65787
2013,UT,Utah,2902787,6644,51,926,1522,1247,3824,88334,13727,67115,7492
2013,VA,Virginia,8270345,16355,320,1476,2350,4574,9111,171558,26717,136215,8626
2013,VT,Vermont,626855,775,10,113,136,75,554,13882,3352,10193,337
2013,WA,Washington,6973742,20223,167,2072,2604,5829,11623,259139,58487,172227,28425
2013,WI,Wisconsin,5742953,16118,163,1308,1836,4834,9285,125694,24358,93946,7390
2013,WV,West Virginia,1853595,5657,62,367,700,653,4242,39929,9908,28055,1966
2013,WY,Wyoming,583223,1212,17,144,204,74,917,12809,1956,10275,578
2014,,,318907401,1153022,14164,84864,118027,322905,731089,8209010,1713153,5809054,686803
2014,AK,Alaska,737046,4684,41,553,771,629,3243,20334,3150,15445,1739
2014,AL,Alabama,4846411,20727,276,1425,2005,4702,13744,154087,39723,104223,10141
2014,AR,Arkansas,2966835,14248,175,1291,1816,2037,10220,99452,24816,69001,5635
2014,AZ,Arizona,6728783,26422,311,2356,3272,6225,16614,213406,43412,152683,17311
2014,CA,California,38792291,153763,1700,8389,11578,48681,91804,947193,202669,592673,151851
2014,CO,Colorado,5355588,16487,150,2236,3089,3037,10211,135789,23502,99688,12599
2014,CT,Connecticut,3594762,8575,89,579,794,3172,4520,69326,12017,51195,6114
2014,DC,District of Columbia,659836,8199,105,349,472,3497,4125,34147,3466,26898,3783
2014,DE,Delaware,935968,4568,50,274,390,1271,2857,27915,5765,20885,1265
2014,FL,Florida,19905569,91345,982,5038,7132,21621,61610,583774,121379,426197,36198
2014,GA,Georgia,10097132,38955,607,2209,3147,12786,22415,339146,78029,233359,27758
2014,HI,Hawaii,1420257,3362,20,388,548,952,1842,46022,7470,33003,5549
2014,IA,Iowa,3109481,8484,60,829,1150,1047,6227,65100,14363,46594,4143
2014,ID,Idaho,1634806,3439,32,463,645,203,2559,30440,6466,22297,1677
2014,IL,Illinois,12882189,47775,690,3182,4329,15271,27485,269647,50759,201003,17885
2014,IN,Indiana,6597880,24105,333,1608,2197,6894,14681,174909,36909,124144,13856
2014,KS,Kansas,2902507,10235,92,1066,1483,1361,7299,80029,15921,57169,6939
2014,KY,Kentucky,4412617,9495,164,1098,1556,3343,4432,99909,23426,70108,6375
2014,LA,Louisiana,4648990,23983,476,981,1382,5725,16400,161192,38541,113251,9400
2014,MA,Massachusetts,6755124,26689,133,1625,2202,6077,18277,125481,24951,92226,8304
2014,MD,Maryland,5975346,26767,362,1144,1632,9565,15208,150390,28134,109140,13116
2014,ME,Maine,1330256,1698,21,346,484,304,889,26427,5035,20591,801
2014,MI,Michigan,9916306,42555,544,4500,6364,8037,27610,202692,44328,137142,21222
2014,MN,Minnesota,5457125,12505,88,1448,2001,3687,6729,125377,20773,96237,8367
2014,MO,Missouri,6063827,26882,404,1728,2403,5592,18483,176436,35293,124769,16374
2014,MS,Mississippi,2993443,8331,259,768,1082,2405,4585,86887,23898,58515,4474
2014,MT,Montana,1023252,3361,38,396,558,202,2563,25525,3639,19826,2060
2014,NC,North Carolina,9940387,32718,498,1738,2432,8411,21377,285498,79266,192609,13623
2014,ND,North Dakota,740040,2001,23,275,382,175,1421,15857,2751,11559,1547
2014,NE,Nebraska,1882980,5201,53,645,878,1044,3226,47526,7936,35063,4527
2014,NH,New Hampshire,1327996,2625,16,438,596,544,1469,26098,4191,21051,856
2014,NJ,New Jersey,8938844,23319,352,953,1280,10499,11188,154945,31707,111534,11704
2014,NM,New Mexico,2085567,12465,101,1070,1481,2086,8797,73877,18505,49082,6290
2014,NV,Nevada,2838281,18043,170,987,1357,5954,10562,74574,21924,42466,10184
2014,NY,New York,19748858,75972,616,4316,6025,24036,45295,339113,50738,272624,15751
2014,OH,Ohio,11596998,33130,464,3825,5228,12780,14658,322517,79466,224942,18109
2014,OK,Oklahoma,3879610,16052,180,1361,1862,3073,10937,117445,29963,76719,10763
2014,OR,Oregon,3971202,10294,84,1165,1620,2270,6320,123142,18690,94177,10275
2014,PA,Pennsylvania,12793767,40298,610,2785,3839,13545,22304,246982,45718,188211,13053
2014,RI,Rhode Island,1054907,2320,26,264,366,530,1398,22982,4830,16317,1835
2014,SC,South Carolina,4829160,24038,322,1522,2185,4018,17513,168281,37163,118173,12945
2014,SD,South Dakota,853304,2801,23,336,478,199,2101,16036,2817,12209,1010
2014,TN,Tennessee,6547779,39989,369,1870,2595,7268,29757,200911,46798,141464,12649
2014,TX,Texas,26979078,109711,1192,8400,11636,31021,65862,813515,168085,577018,68412
2014,UT,Utah,2944498,6464,66,1114,1547,1313,3538,85473,11656,66487,7330
2014,VA,Virginia,8328098,16522,350,1687,2416,4294,9462,161934,23210,131001,7723
2014,VT,Vermont,626767,643,10,85,117,72,444,9721,2092,7375,254
